City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jerez,GT,14.1,-89.75,81.05,47,0,3.44,clear sky
1,Saldanha,ZA,-33.0117,17.9442,59.05,80,19,13.33,few clouds
2,Norman Wells,CA,65.282,-126.8329,-34.56,67,40,2.3,scattered clouds
3,Butaritari,KI,3.0707,172.7902,81.97,78,62,9.57,light rain
4,Den Helder,NL,52.9599,4.7593,51.78,95,90,15.01,overcast clouds
5,Thompson,CA,55.7435,-97.8558,14.16,85,90,6.91,light snow
6,Fort Morgan,US,40.2503,-103.8,53.82,27,1,4.61,haze
7,Ushuaia,AR,-54.8,-68.3,51.46,58,40,26.46,scattered clouds
8,Madison,US,34.7334,-86.5667,60.15,62,1,3.0,clear sky
9,Boralday,KZ,43.3578,76.8594,30.06,93,90,4.47,mist
10,Lashio,MM,22.9333,97.75,50.83,98,5,1.16,clear sky
11,East London,ZA,-33.0153,27.9116,67.21,79,91,11.23,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,66.47,45,94,9.66,overcast clouds
13,Tsabong,BW,-26.0217,22.401,74.16,53,1,10.56,clear sky
14,Tianpeng,CN,30.9866,103.9393,48.67,74,100,0.98,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,40,11.5,scattered clouds
16,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,88,98,20.24,overcast clouds
17,Parrita,CR,9.5201,-84.3225,85.77,85,93,2.3,overcast clouds
18,Atuona,PF,-9.8,-139.0333,79.12,70,8,17.87,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,69.1,88,90,1.01,overcast clouds
20,Grindavik,IS,63.8424,-22.4338,37.87,81,75,13.8,heavy intensity rain
21,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,19.57,scattered clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,5.75,light snow
23,Severo-Kurilsk,RU,50.6789,156.125,28.65,61,87,25.41,overcast clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,82.51,57,1,10.36,clear sky
25,Puri,IN,19.8,85.85,61.32,62,100,6.04,overcast clouds
26,Aliwal North,ZA,-30.6937,26.7114,63.5,69,27,2.26,scattered clouds
27,Kuytun,RU,54.3419,101.5036,-1.37,90,100,8.55,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,78.37,72,5,4.9,clear sky
29,Tanete,ID,-3.9443,119.7848,81.36,83,99,1.66,overcast clouds
30,Clyde River,CA,70.4692,-68.5914,-21.77,76,1,3.44,clear sky
31,Iquique,CL,-20.2208,-70.1431,66.24,85,76,6.06,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,80,3.0,broken clouds
33,Esso,RU,55.9333,158.7,13.73,94,99,5.77,overcast clouds
34,Dikson,RU,73.5069,80.5464,-23.15,100,53,6.4,broken clouds
35,Rocha,UY,-34.4833,-54.3333,63.39,95,66,6.55,broken clouds
36,Tasiilaq,GL,65.6145,-37.6368,28.56,69,100,7.05,overcast clouds
37,Vaini,TO,-21.2,-175.2,84.36,84,40,10.36,scattered clouds
38,Castro,BR,-24.7911,-50.0119,65.97,99,100,5.44,overcast clouds
39,Avarua,CK,-21.2078,-159.775,82.45,83,89,10.36,overcast clouds
40,Khatanga,RU,71.9667,102.5,-5.06,88,100,5.06,overcast clouds
41,Hobart,AU,-42.8794,147.3294,71.11,65,20,1.01,few clouds
42,Manicore,BR,-5.8092,-61.3003,75.61,95,79,2.35,broken clouds
43,Mgachi,RU,51.05,142.2667,11.71,71,87,6.98,overcast clouds
44,Chokurdakh,RU,70.6333,147.9167,-17.64,95,100,7.96,overcast clouds
45,Salalah,OM,17.0151,54.0924,69.89,49,0,6.91,clear sky
46,Ust-Nera,RU,64.5667,143.2,-11.51,98,100,4.65,overcast clouds
47,Muros,ES,42.7762,-9.0603,52.3,95,3,5.53,clear sky
48,Provideniya,RU,64.3833,-173.3,-3.89,77,90,22.37,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,77.29,83,40,8.05,light rain
50,Punta Arenas,CL,-53.15,-70.9167,51.91,54,75,17.27,broken clouds
51,Souillac,MU,-20.5167,57.5167,77.38,83,40,8.05,scattered clouds
52,New Norfolk,AU,-42.7826,147.0587,70.75,53,99,4.0,overcast clouds
53,Busselton,AU,-33.65,115.3333,58.05,56,0,5.79,clear sky
54,Viedma,AR,-40.8135,-62.9967,64.09,61,59,5.37,broken clouds
55,Belyy Yar,RU,53.6039,91.3903,-4.11,84,0,0.0,clear sky
56,Kluczbork,PL,50.9728,18.2182,36.99,99,100,5.64,overcast clouds
57,Kapaa,US,22.0752,-159.319,80.58,75,75,1.99,light rain
58,Baruun-Urt,MN,46.6806,113.2792,7.81,78,100,9.71,overcast clouds
59,Luderitz,NA,-26.6481,15.1594,60.4,83,0,15.23,clear sky
60,Ilulissat,GL,69.2167,-51.1,21.22,45,14,5.75,few clouds
61,Safaga,EG,26.7292,33.9365,66.15,55,1,12.48,clear sky
62,Kidal,ML,18.4411,1.4078,73.45,11,100,9.64,overcast clouds
63,Tigil,RU,57.8,158.6667,16.65,95,100,6.85,overcast clouds
64,Hermanus,ZA,-34.4187,19.2345,63.9,71,99,4.03,overcast clouds
65,Guacimo,CR,10.2104,-83.6807,84.78,98,72,2.68,broken clouds
66,Cape Town,ZA,-33.9258,18.4232,64.11,75,75,1.99,broken clouds
67,Fortuna,US,40.5982,-124.1573,48.97,78,40,4.0,scattered clouds
68,Yellowknife,CA,62.456,-114.3525,-8.88,84,75,4.61,light snow
69,Cherskiy,RU,68.75,161.3,-21.19,82,100,4.45,overcast clouds
70,Huarmey,PE,-10.0681,-78.1522,69.3,82,19,9.55,few clouds
71,Moroni,KM,-11.7022,43.2551,78.21,78,38,6.15,scattered clouds
72,Victoria,HK,22.2855,114.1577,70.25,84,100,1.99,overcast clouds
73,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,0,4.61,clear sky
74,Albany,US,42.6001,-73.9662,40.53,64,30,3.71,scattered clouds
75,Santa Maria,BR,-29.6842,-53.8069,67.3,88,90,8.05,overcast clouds
76,Saint-Augustin,CA,51.226,-58.6502,18.54,64,77,20.92,broken clouds
77,Price,US,39.5994,-110.8107,48.72,56,90,0.0,overcast clouds
78,Agadez,NE,19.75,10.25,61.59,29,100,10.36,overcast clouds
79,Saint Pete Beach,US,27.7253,-82.7412,75.25,77,75,3.0,broken clouds
80,Bredasdorp,ZA,-34.5322,20.0403,59.29,71,100,5.17,overcast clouds
81,Rovaniemi,FI,66.5,25.7167,27.81,100,90,10.36,light snow
82,Ketchikan,US,55.3422,-131.6461,27.07,74,75,0.0,broken clouds
83,Bilibino,RU,68.0546,166.4372,-13.45,72,100,5.53,overcast clouds
84,Inuvik,CA,68.3499,-133.7218,-16.56,76,90,3.44,light snow
85,Georgetown,MY,5.4112,100.3354,79.9,86,20,1.99,few clouds
86,Ancud,CL,-41.8697,-73.8203,56.73,73,30,4.76,scattered clouds
87,Airai,TL,-8.9266,125.4092,71.37,59,24,1.28,few clouds
88,Iqaluit,CA,63.7506,-68.5145,-4.27,71,90,10.36,light snow
89,Port Alfred,ZA,-33.5906,26.891,66.33,81,25,16.26,scattered clouds
90,Bluff,NZ,-46.6,168.3333,66.79,71,97,22.79,overcast clouds
91,Hun,LY,29.1268,15.9477,56.16,50,67,7.02,broken clouds
92,Torbay,CA,47.6666,-52.7314,29.57,84,90,13.8,light snow
93,Fort Frances,CA,48.5999,-93.4003,38.16,69,1,5.99,clear sky
94,Cidreira,BR,-30.1811,-50.2056,70.93,92,100,20.8,overcast clouds
95,Hilo,US,19.7297,-155.09,81.28,57,20,9.22,few clouds
96,Port Hardy,CA,50.6996,-127.4199,41.0,81,75,6.91,broken clouds
97,Morondava,MG,-20.2833,44.2833,74.79,79,100,9.31,overcast clouds
98,Acapulco,MX,16.8634,-99.8901,85.82,70,1,6.91,clear sky
99,Qaqortoq,GL,60.7167,-46.0333,30.7,82,100,2.55,overcast clouds
100,Qaanaaq,GL,77.484,-69.3632,-1.82,95,93,3.67,overcast clouds
101,Isetskoye,RU,56.4858,65.3226,22.53,81,93,14.23,overcast clouds
102,Saint-Philippe,RE,-21.3585,55.7679,78.35,80,39,12.84,scattered clouds
