City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dergachi,RU,2021-12-09 21:38:36,51.2328,48.7659,31.5,95,100,6.53
1,Dikson,RU,2021-12-09 21:38:36,73.5069,80.5464,-24.79,99,19,4.97
2,Punta Arenas,CL,2021-12-09 21:38:09,-53.15,-70.9167,60.91,41,40,25.32
3,Airai,TL,2021-12-09 21:38:37,-8.9266,125.4092,62.65,85,92,1.07
4,Petlawad,IN,2021-12-09 21:38:38,23.0,74.8,62.24,56,5,10.33
5,Yumen,CN,2021-12-09 21:38:38,40.2833,97.2,26.46,48,100,7.58
6,Atuona,PF,2021-12-09 21:38:39,-9.8,-139.0333,78.44,63,77,13.96
7,Tual,ID,2021-12-09 21:38:39,-5.6667,132.75,83.82,77,100,20.49
8,Saskylakh,RU,2021-12-09 21:38:40,71.9167,114.0833,-12.82,98,100,6.53
9,Husavik,IS,2021-12-09 21:38:41,66.0449,-17.3389,24.71,92,100,6.2
10,Bluff,NZ,2021-12-09 21:38:41,-46.6,168.3333,59.81,63,6,11.3
11,Yellowknife,CA,2021-12-09 21:35:01,62.456,-114.3525,-4.72,87,75,8.05
12,Ribeira Grande,PT,2021-12-09 21:38:42,38.5167,-28.7,61.2,72,75,8.05
13,Tasiilaq,GL,2021-12-09 21:38:43,65.6145,-37.6368,32.16,68,100,7.67
14,Severo-Kurilsk,RU,2021-12-09 21:38:44,50.6789,156.125,32.0,77,7,7.72
15,Cape Town,ZA,2021-12-09 21:35:52,-33.9258,18.4232,66.61,79,20,4.0
16,Rikitea,PF,2021-12-09 21:38:44,-23.1203,-134.9692,75.85,73,86,20.98
17,Saint-Philippe,RE,2021-12-09 21:38:45,-21.3585,55.7679,76.59,78,54,9.48
18,Norman Wells,CA,2021-12-09 21:38:45,65.282,-126.8329,6.84,85,75,8.05
19,Sao Joao Da Barra,BR,2021-12-09 21:38:45,-21.6403,-41.0511,75.29,82,79,10.58
20,Kandrian,PG,2021-12-09 21:38:46,-6.2167,149.55,82.17,81,100,4.45
21,Leningradskiy,RU,2021-12-09 21:38:47,69.3833,178.4167,-10.62,93,100,21.21
22,Busselton,AU,2021-12-09 21:38:47,-33.65,115.3333,64.09,77,99,12.06
23,East London,ZA,2021-12-09 21:35:17,-33.0153,27.9116,68.77,83,78,5.68
24,Leh,IN,2021-12-09 21:38:48,34.1667,77.5833,8.47,83,91,3.2
25,Mataura,NZ,2021-12-09 21:38:48,-46.1927,168.8643,59.49,50,33,1.14
26,Barrow,US,2021-12-09 21:38:49,71.2906,-156.7887,8.62,78,90,12.66
27,Kavieng,PG,2021-12-09 21:38:50,-2.5744,150.7967,83.25,81,67,17.27
28,Broken Hill,AU,2021-12-09 21:38:50,-31.95,141.4333,58.71,58,40,16.11
29,Jamestown,US,2021-12-09 21:37:00,42.097,-79.2353,33.71,74,90,4.0
30,Penzance,GB,2021-12-09 21:35:08,50.1186,-5.5371,49.21,77,93,33.69
31,Puteyets,RU,2021-12-09 21:38:51,65.1716,57.091,12.29,96,100,2.89
32,Rabo De Peixe,PT,2021-12-09 21:38:52,37.8,-25.5833,58.28,95,20,5.75
33,Faanui,PF,2021-12-09 21:38:52,-16.4833,-151.75,81.12,68,43,11.83
34,Vaini,TO,2021-12-09 21:38:53,-21.2,-175.2,82.56,78,20,8.05
35,Kruisfontein,ZA,2021-12-09 21:38:53,-34.0033,24.7314,65.88,96,98,2.46
36,Tessalit,ML,2021-12-09 21:38:54,20.1986,1.0114,71.35,10,100,9.06
37,New Norfolk,AU,2021-12-09 21:38:54,-42.7826,147.0587,58.66,63,100,1.01
38,Hermanus,ZA,2021-12-09 21:38:55,-34.4187,19.2345,69.91,88,100,14.09
39,Hithadhoo,MV,2021-12-09 21:38:55,-0.6,73.0833,80.62,79,100,10.71
40,Port-Gentil,GA,2021-12-09 21:38:56,-0.7193,8.7815,80.56,89,75,6.91
41,Port Elizabeth,ZA,2021-12-09 21:38:56,-33.918,25.5701,68.29,100,90,6.91
42,Mayo,US,2021-12-09 21:38:57,38.8876,-76.5119,42.78,59,1,5.01
43,Port Blair,IN,2021-12-09 21:38:57,11.6667,92.75,78.17,72,19,10.29
44,Pangnirtung,CA,2021-12-09 21:38:58,66.1451,-65.7125,1.4,78,75,3.44
45,Saint Anthony,US,2021-12-09 21:38:59,45.0205,-93.218,40.55,68,1,10.36
46,Katsuura,JP,2021-12-09 21:38:59,35.1333,140.3,47.1,79,94,14.36
47,Puqi,CN,2021-12-09 21:39:00,29.7167,113.8833,50.36,66,38,2.44
48,Saint George,US,2021-12-09 21:35:33,37.1041,-113.5841,49.62,89,90,3.0
49,Georgetown,MY,2021-12-09 21:37:00,5.4112,100.3354,80.53,81,20,1.99
50,Isangel,VU,2021-12-09 21:34:08,-19.55,169.2667,86.11,70,2,4.61
51,Ola,RU,2021-12-09 21:39:02,59.5833,151.2833,-6.39,80,100,8.61
52,Padang,ID,2021-12-09 21:39:02,-0.9492,100.3543,75.54,95,100,4.29
53,Qaqortoq,GL,2021-12-09 21:39:03,60.7167,-46.0333,27.1,92,16,6.04
54,Kapaa,US,2021-12-09 21:39:04,22.0752,-159.319,80.92,81,20,3.0
55,Aksarka,RU,2021-12-09 21:39:04,66.5606,67.7975,1.65,84,97,4.54
56,Hilo,US,2021-12-09 21:36:52,19.7297,-155.09,79.11,61,75,9.22
57,Meulaboh,ID,2021-12-09 21:39:05,4.1363,96.1285,77.56,87,100,1.7
58,Juneau,US,2021-12-09 21:37:47,58.3019,-134.4197,36.84,96,90,0.0
59,Lompoc,US,2021-12-09 21:39:06,34.6391,-120.4579,60.57,74,90,11.5
60,Pontes E Lacerda,BR,2021-12-09 21:39:06,-15.2261,-59.3353,82.51,71,99,0.87
61,Havre-Saint-Pierre,CA,2021-12-09 21:39:07,50.2334,-63.5986,15.8,61,1,10.36
62,North Myrtle Beach,US,2021-12-09 21:39:07,33.816,-78.68,53.69,74,1,6.91
63,Torbay,CA,2021-12-09 21:35:29,47.6666,-52.7314,39.58,98,90,8.05
64,Sitka,US,2021-12-09 21:39:08,57.0531,-135.33,35.49,87,75,6.91
65,Aden,YE,2021-12-09 21:39:09,12.7794,45.0367,77.72,64,4,12.01
66,Le Port,RE,2021-12-09 21:39:10,-20.9373,55.2919,77.0,79,70,8.34
67,Fonte Boa,BR,2021-12-09 21:39:10,-2.4959,-66.2662,79.41,91,100,1.7
68,Mao,ES,2021-12-09 21:39:11,39.8885,4.2658,54.16,71,75,5.75
69,Bubaque,GW,2021-12-09 21:39:11,11.2833,-15.8333,81.99,70,4,13.8
70,Ushuaia,AR,2021-12-09 21:37:59,-54.8,-68.3,58.66,38,40,23.02
71,Teguise,ES,2021-12-09 21:39:12,29.0605,-13.564,61.02,72,40,25.32
72,Puerto Ayora,EC,2021-12-09 21:39:12,-0.7393,-90.3518,71.56,95,95,3.0
